Date,PnL
2/3/2023,0.007014988
2/4/2023,0
2/5/2023,-0.003816111
2/6/2023,-0.008934042
2/7/2023,-0.000864452
2/8/2023,0
2/9/2023,0.014493715
2/10/2023,0.009670694
2/11/2023,0
2/12/2023,0.00465185
2/13/2023,0.008615796
2/14/2023,0.005009412
2/15/2023,0.041711554
2/16/2023,-0.001427448
2/17/2023,0.010752628
2/18/2023,0
2/19/2023,0
2/20/2023,-0.005362862
2/21/2023,0
2/22/2023,0
2/23/2023,-0.015519405
2/24/2023,0.02134889
2/25/2023,0
2/26/2023,0
2/27/2023,0
2/28/2023,-0.009158564
3/1/2023,0.003989975
3/2/2023,-0.002293715
3/3/2023,0.013842746
3/4/2023,0
3/5/2023,0
3/6/2023,0
3/7/2023,-0.00507542
3/8/2023,0
3/9/2023,0
3/10/2023,0
3/11/2023,0.001048844
3/12/2023,0.021848327
3/13/2023,0.052689377
3/14/2023,0.034982295
3/15/2023,-0.024142077
3/16/2023,0.009281782
3/17/2023,0.004170231
3/18/2023,0
3/19/2023,-0.002353408
3/20/2023,0.014541561
3/21/2023,0
3/22/2023,0.012969602
3/23/2023,0.015059673
3/24/2023,0.013333569
3/25/2023,0.004141914
3/26/2023,-0.011915354
3/27/2023,0
3/28/2023,0
3/29/2023,0.019201088
3/30/2023,0
3/31/2023,0
4/1/2023,0
4/2/2023,0
4/3/2023,0
4/4/2023,0
4/5/2023,0
4/6/2023,0
4/7/2023,0
4/8/2023,0
4/9/2023,0.003389652
4/10/2023,0.024703803
4/11/2023,-0.001828044
4/12/2023,-0.007809032
4/13/2023,0.011982754
4/14/2023,-0.000861222
4/15/2023,0
4/16/2023,0
4/17/2023,0
4/18/2023,0.007078292
4/19/2023,-0.01107696
4/20/2023,0.007236484
4/21/2023,0.00309065
4/22/2023,0
4/23/2023,0
4/24/2023,0.001230318
4/25/2023,-0.006182904
4/26/2023,0.008248162
4/27/2023,0.00224655
4/28/2023,0
4/29/2023,0
4/30/2023,-0.008177518
5/1/2023,0.006350234
5/2/2023,0
5/3/2023,0.004460603
5/4/2023,0
5/5/2023,-0.012889922
5/6/2023,-0.00919714
5/7/2023,0.004040563
5/8/2023,0.012423509
5/9/2023,0
5/10/2023,0.003131218
5/11/2023,0
5/12/2023,0
5/13/2023,-0.003736154
5/14/2023,0
5/15/2023,0.014137668
5/16/2023,0.004475903
5/17/2023,0.005445687
5/18/2023,0
5/19/2023,0
5/20/2023,0
5/21/2023,0.004508763
5/22/2023,-0.006932034
5/23/2023,0.005267189
5/24/2023,0.013561148
5/25/2023,0
5/26/2023,-0.003912188
5/27/2023,0
5/28/2023,0.009898578
5/29/2023,-0.004487685
5/30/2023,-0.0070905
5/31/2023,-0.002194866
6/1/2023,0
6/2/2023,0
6/3/2023,0
6/4/2023,-0.001641432
6/5/2023,0.001965035
6/6/2023,-0.004361204
6/7/2023,-0.005397002
6/8/2023,0
6/9/2023,-0.006649051
6/10/2023,-0.003546182
6/11/2023,0
6/12/2023,-0.007549647
6/13/2023,0.003223882
6/14/2023,0.009795722
6/15/2023,0
6/16/2023,0.00900765
6/17/2023,0.002512789
6/18/2023,0
6/19/2023,-0.01418354
6/20/2023,0.023045229
6/21/2023,0.010459603
6/22/2023,0
6/23/2023,0.003600488
6/24/2023,0.007307244
6/25/2023,-0.004147072
6/26/2023,0.0035348
6/27/2023,0.006850853
6/28/2023,-0.000345668
6/29/2023,0.003318625
6/30/2023,0.00252222
7/1/2023,0
7/2/2023,0
7/3/2023,0.003380741
7/4/2023,0
7/5/2023,-0.003263158
7/6/2023,-0.012237326
7/7/2023,0
7/8/2023,0
7/9/2023,0
7/10/2023,0.005643138
7/11/2023,0.003749362
7/12/2023,-0.00429909
7/13/2023,0.001937079
7/14/2023,0.002272431
7/15/2023,0
7/16/2023,-0.00694056
7/17/2023,0
7/18/2023,0
7/19/2023,-0.003441697
7/20/2023,0.008665743
7/21/2023,-0.006319402
7/22/2023,-0.002991003
7/23/2023,0
7/24/2023,-0.005786527
7/25/2023,0
7/26/2023,0
7/27/2023,0
7/28/2023,-0.001379962
7/29/2023,0
7/30/2023,-0.00413818
7/31/2023,0.000792686
8/1/2023,0.001276802
8/2/2023,0.002387617
8/3/2023,0
8/4/2023,0
8/5/2023,0
8/6/2023,-0.001048002
8/7/2023,0.002448818
8/8/2023,0.008779485
8/9/2023,-0.004715593
8/10/2023,-0.004192532
8/11/2023,0
8/12/2023,0
8/13/2023,0
8/14/2023,0.00049436
8/15/2023,0.001936302
8/16/2023,0.003153462
8/17/2023,0.01263602
8/18/2023,0.00302925
8/19/2023,-0.002671219
8/20/2023,0
8/21/2023,0.002562432
8/22/2023,0
8/23/2023,0.004008596
8/24/2023,-0.009001745
8/25/2023,0
8/26/2023,0
8/27/2023,0
8/28/2023,0
8/29/2023,0.008573988
8/30/2023,0
8/31/2023,-0.0078136
9/1/2023,0
9/2/2023,0.006452375
9/3/2023,0
9/4/2023,0.002529963
9/5/2023,-0.006274797
9/6/2023,-0.003004054
9/7/2023,0.002482134
9/8/2023,-0.001970431
9/9/2023,0
9/10/2023,-0.003588834
9/11/2023,0.001503387
9/12/2023,-0.009083119
9/13/2023,0.004705771
9/14/2023,-0.009522993
9/15/2023,0.006277905
9/16/2023,-0.005732555
9/17/2023,0
9/18/2023,0.008358867
9/19/2023,0.003570605
9/20/2023,-0.01625014
9/21/2023,-0.000600809
9/22/2023,0
9/23/2023,0
9/24/2023,0.000240673
9/25/2023,-0.006446146
9/26/2023,-0.001367044
9/27/2023,0.003499727
9/28/2023,0.008451729
9/29/2023,0
9/30/2023,0.002662795
10/1/2023,0.002435243
10/2/2023,-0.007611475
10/3/2023,0.002760876
10/4/2023,0.002265697
10/5/2023,0.001469592
10/6/2023,0.012761761
10/7/2023,0
10/8/2023,-0.001331655
10/9/2023,-0.002359875
10/10/2023,0.002418957
10/11/2023,-0.000702077
10/12/2023,-0.005514994
10/13/2023,0
10/14/2023,0
10/15/2023,0.002480804
10/16/2023,0.020343688
10/17/2023,-0.005334133
10/18/2023,-0.006455678
10/19/2023,0.00797982
10/20/2023,0.011040982
10/21/2023,0.003030923
10/22/2023,0
10/23/2023,0.016531486
10/24/2023,-0.00293744
10/25/2023,-0.003099122
10/26/2023,0
10/27/2023,0.007499761
10/28/2023,-0.000247428
10/29/2023,0.006639761
10/30/2023,-0.01596478
10/31/2023,0
11/1/2023,0.008763204
11/2/2023,-0.011235925
11/3/2023,0.003847128
11/4/2023,0
11/5/2023,-0.008803956
11/6/2023,0
11/7/2023,-0.0053927
11/8/2023,0
11/9/2023,0.014847731
11/10/2023,0
11/11/2023,0
11/12/2023,0
11/13/2023,0
11/14/2023,0.007980442
11/15/2023,0.018537258
11/16/2023,-0.006333286
11/17/2023,-0.005707017
11/18/2023,0.003082859
11/19/2023,-0.005919171
11/20/2023,-0.006063888
11/21/2023,0.008104134
11/22/2023,0.003875824
11/23/2023,0
11/24/2023,-0.007854396
11/25/2023,0
11/26/2023,0
11/27/2023,0
11/28/2023,0.001538958
11/29/2023,0
11/30/2023,0
12/1/2023,0.008868577
12/2/2023,0.003713863
12/3/2023,0
12/4/2023,0.016195248
12/5/2023,0
12/6/2023,0
12/7/2023,-0.002184462
12/8/2023,0.010455613
12/9/2023,0
12/10/2023,0
12/11/2023,-0.016406047
12/12/2023,-0.004809691
12/13/2023,0.004310573
12/14/2023,-0.001285038
12/15/2023,0
12/16/2023,0
12/17/2023,-0.008101849
12/18/2023,0.007275101
12/19/2023,-0.005137932
12/20/2023,0.008043207
12/21/2023,0
12/22/2023,-0.008484584
12/23/2023,0
12/24/2023,-0.009393074
12/25/2023,0
12/26/2023,-0.009544436
12/27/2023,-0.008162274
12/28/2023,0
12/29/2023,0.004954028
12/30/2023,-0.008561881
12/31/2023,0
1/1/2024,0.015338817
1/2/2024,0.025929521
1/3/2024,0.013573971
1/4/2024,0
1/5/2024,0.007548888
1/6/2024,0.004059233
1/7/2024,-0.008243466
1/8/2024,0.012643796
1/9/2024,0.019618985
1/10/2024,-0.004180802
1/11/2024,0.022444066
1/12/2024,0
1/13/2024,0
1/14/2024,0
1/15/2024,0
1/16/2024,-0.007032117
1/17/2024,0.005409743
1/18/2024,0.016800112
1/19/2024,0
1/20/2024,0
1/21/2024,0
1/22/2024,0.003754697
1/23/2024,0
1/24/2024,-0.01116287
1/25/2024,0.00532172
1/26/2024,0
1/27/2024,0
1/28/2024,-0.014284942
1/29/2024,0.009147197
1/30/2024,0.00358482
1/31/2024,-0.001967961
2/1/2024,-0.001467908
2/2/2024,-0.024059201
2/3/2024,0
2/4/2024,0
2/5/2024,-0.00017507
2/6/2024,0.007284598
2/7/2024,0.005339104
2/8/2024,0.006788185
2/9/2024,-0.001095742
2/10/2024,0
2/11/2024,0
2/12/2024,0.026459619
2/13/2024,0.016584386
2/14/2024,0
2/15/2024,0.012738655
2/16/2024,-0.003343919
2/17/2024,-0.011219225
2/18/2024,0.006354492
2/19/2024,0
2/20/2024,-0.002726899
2/21/2024,0
2/22/2024,-0.011744674
2/23/2024,0
2/24/2024,0.007361495
2/25/2024,0
2/26/2024,0.029647126
2/27/2024,0.000479634
2/28/2024,0.010620689
2/29/2024,0.005712632
3/1/2024,-0.001205967
3/2/2024,0
3/3/2024,0.007594959
3/4/2024,0.003085298
3/5/2024,0.031899364
3/6/2024,-0.002326473
3/7/2024,0
3/8/2024,-0.000837885
3/9/2024,0
3/10/2024,0
3/11/2024,0.014436753
3/12/2024,0.021468542
3/13/2024,-0.007866159
3/14/2024,0.020014579
3/15/2024,-0.003863775
3/16/2024,0.025846291
3/17/2024,-0.014330185
3/18/2024,-0.022813265
3/19/2024,0.015073088
3/20/2024,0.006042925
3/21/2024,0.006724449
3/22/2024,0
3/23/2024,0
3/24/2024,0.014016278
3/25/2024,0.020732288
3/26/2024,0.000479569
3/27/2024,0
3/28/2024,-0.006782968
3/29/2024,0
3/30/2024,0
3/31/2024,-0.013703552
4/1/2024,0
4/2/2024,0
4/3/2024,0
4/4/2024,-0.005723627
4/5/2024,0.004093446
4/6/2024,0.005081917
4/7/2024,0
4/8/2024,0.002926073
4/9/2024,-0.010949826
4/10/2024,0.013490638
4/11/2024,-0.009478522
4/12/2024,0.020246417
4/13/2024,0.01705186
4/14/2024,-0.008593503
4/15/2024,0.001031003
4/16/2024,0
4/17/2024,0
4/18/2024,-0.012217377
4/19/2024,0.006654559
4/20/2024,0.01176054
4/21/2024,0
4/22/2024,0.011751049
4/23/2024,0.006168621
4/24/2024,0.018596153
4/25/2024,-0.006422877
4/26/2024,0.00854709
4/27/2024,-0.014378267
4/28/2024,-0.010184092
4/29/2024,-0.002867661
4/30/2024,0.025584124
5/1/2024,0.0092452
5/2/2024,0
5/3/2024,-0.011971827
5/4/2024,-0.005208916
5/5/2024,0.007282504
5/6/2024,-0.010452876
5/7/2024,-0.01064653
5/8/2024,0
5/9/2024,0.008819077
5/10/2024,0
5/11/2024,0
5/12/2024,0
5/13/2024,0.008823007
