date_time,total_return (%),NAV,Drawdown(%)
18/04/2021,-1.505182789,1.023406402,-3.342834864
19/04/2021,-0.810464091,1.015112061,-4.126206479
20/04/2021,1.980442577,1.035215772,-2.227481052
21/04/2021,0.24875965,1.037790972,-1.984262476
22/04/2021,2.170651904,1.060317801,0
23/04/2021,0.006428707,1.060385966,0
24/04/2021,-1.46933947,1.044805296,-1.46933947
25/04/2021,1.985741015,1.065552424,0
26/04/2021,1.528832725,1.081842938,0
27/04/2021,1.184567892,1.094658102,0
28/04/2021,0.631209939,1.101567693,0
29/04/2021,-0.18756213,1.099501569,-0.18756213
30/04/2021,-0.918348079,1.089404317,-1.104187736
01/05/2021,-0.027493502,1.089104802,-1.131377658
02/05/2021,0.589667468,1.095526898,-0.548381555
03/05/2021,4.951588937,1.149772887,0
04/05/2021,-0.901122453,1.139412026,-0.901122453
05/05/2021,-1.250485531,1.125163843,-2.140339578
06/05/2021,0.187373219,1.127272099,-1.956976782
07/05/2021,-0.519930772,1.121411064,-2.46673263
08/05/2021,3.155958478,1.156802332,0
09/05/2021,0.425373403,1.161723061,0
10/05/2021,0.664452544,1.16944216,0
11/05/2021,1.57440794,1.18785395,0
12/05/2021,0.959882765,1.199255955,0
13/05/2021,-3.65793806,1.155387915,-3.65793806
14/05/2021,0.403794158,1.160053304,-3.268914442
15/05/2021,2.038982013,1.183706582,-1.296585006
16/05/2021,-2.296226095,1.156526003,-3.563038578
17/05/2021,-0.347334588,1.152508988,-3.8979975
18/05/2021,0.763868758,1.161312644,-3.163904327
19/05/2021,13.38021402,1.316698761,0
20/05/2021,2.930844604,1.355289156,0
21/05/2021,-2.801562802,1.317319879,-2.801562802
22/05/2021,-0.339447033,1.312848276,-3.131500014
23/05/2021,0.796405334,1.32330387,-2.360034112
24/05/2021,5.180371958,1.391855932,0
25/05/2021,0.230010921,1.395057353,0
26/05/2021,-0.90234045,1.382469186,-0.90234045
27/05/2021,-0.433990242,1.376469405,-1.332414622
28/05/2021,1.565635859,1.398019903,0
29/05/2021,0.682921775,1.407567286,0
30/05/2021,-0.461129521,1.401076577,-0.461129521
31/05/2021,-0.597777656,1.392701255,-1.056150648
