Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
SOL/USDT:USDT,478806619,2024-10-01 21:45:15.389,1727790315389,sell,153.01,3.37,515.6437,12.686145517436116,-0.25782185
SOL/USDT:USDT,478822080,2024-10-01 21:55:14.774,1727790914774,sell,152.84,3.61,551.7524,12.9759098866303795,-0.2758762
SOL/USDT:USDT,478842924,2024-10-01 22:05:14.165,1727791514165,sell,154.11,0.01,1.5411,0.0486443487164276,-0.00077055
SOL/USDT:USDT,478842925,2024-10-01 22:05:14.165,1727791514165,sell,154.11,0.01,1.5411,0.0486443487164276,-0.00077055
SOL/USDT:USDT,478842926,2024-10-01 22:05:14.165,1727791514165,sell,154.11,0.01,1.5411,0.0486443487164276,-0.00077055
SOL/USDT:USDT,478842927,2024-10-01 22:05:14.165,1727791514165,sell,154.11,1.87,288.1857,9.0964932099719694,-0.14409285
SOL/USDT:USDT,479088747,2024-10-01 23:20:14.259,1727796014259,sell,148.73,0.01,1.4873,-0.0051556512835724,-0.00074365
SOL/USDT:USDT,479088748,2024-10-01 23:20:14.259,1727796014259,sell,148.73,4.75,706.4675,-2.4489343596968691,-0.35323375
SOL/USDT:USDT,479088749,2024-10-01 23:20:14.259,1727796014259,sell,148.73,1.38,205.2474,-0.7114798771329851,-0.1026237
SOL/USDT:USDT,479725362,2024-10-02 04:25:14.188,1727814314188,sell,143.8,0.64,92.032,-3.4851616821486308,-0.046016
SOL/USDT:USDT,479725363,2024-10-02 04:25:14.188,1727814314188,sell,143.8,0.01,1.438,-0.0544556512835724,-0.000719
SOL/USDT:USDT,479725364,2024-10-02 04:25:14.188,1727814314188,sell,143.8,1.1,158.18,-5.9901216411929592,-0.07909
SOL/USDT:USDT,480029328,2024-10-02 09:45:13.325,1727833513325,sell,144.88,2.9,420.152,-12.6601388722359832,-0.210076
SOL/USDT:USDT,480461328,2024-10-02 21:35:14.165,1727876114165,sell,143.03,1.94,277.4782,0,-0.1387391
SOL/USDT:USDT,480775662,2024-10-03 03:00:14.227,1727895614227,sell,142.17,1.0,142.17,0,-0.071085
SOL/USDT:USDT,480775663,2024-10-03 03:00:14.227,1727895614227,sell,142.17,0.01,1.4217,0,-0.00071085
SOL/USDT:USDT,480775664,2024-10-03 03:00:14.227,1727895614227,sell,142.17,1.94,275.8098,0,-0.1379049
SOL/USDT:USDT,480792884,2024-10-03 03:05:14.164,1727895914164,sell,141.2,5.94,838.728,0,-0.419364
SOL/USDT:USDT,480826491,2024-10-03 03:15:14.273,1727896514273,sell,140.74,0.29,40.8146,0,-0.0204073
SOL/USDT:USDT,480826492,2024-10-03 03:15:14.273,1727896514273,sell,140.74,1.71,240.6654,0,-0.1203327
SOL/USDT:USDT,480853626,2024-10-03 03:20:14.542,1727896814542,sell,139.09,1.2,166.908,0,-0.0333816
SOL/USDT:USDT,480946278,2024-10-03 04:25:14.200,1727900714200,sell,139.01,2.0,278.02,0,-0.13901
SOL/USDT:USDT,481404764,2024-10-03 16:20:14.052,1727943614052,sell,137.49,1.22,167.7378,0,-0.0838689
SOL/USDT:USDT,481515057,2024-10-03 17:25:14.319,1727947514319,sell,137.27,0.46,63.1442,0,-0.0315721
SOL/USDT:USDT,481515058,2024-10-03 17:25:14.319,1727947514319,sell,137.27,2.58,354.1566,0,-0.1770783
SOL/USDT:USDT,482767041,2024-10-04 20:55:14.251,1728046514251,buy,141.08,1.81,255.3548,-1.3790344504682103,-0.1276774
SOL/USDT:USDT,482781006,2024-10-04 21:00:14.740,1728046814740,buy,142.46,1.2,170.952,-2.57027698373583,-0.085476
SOL/USDT:USDT,482797970,2024-10-04 21:05:14.320,1728047114320,buy,141.74,2.78,394.0372,-3.9528750123213395,-0.1970186
SOL/USDT:USDT,483073374,2024-10-05 00:30:14.329,1728059414329,buy,143.88,4.07,585.5916,-14.4969227698373568,-0.2927958
